capture_index,"base_T_ee(0,0)","base_T_ee(0,1)","base_T_ee(0,2)","base_T_ee(0,3)","base_T_ee(1,0)","base_T_ee(1,1)","base_T_ee(1,2)","base_T_ee(1,3)","base_T_ee(2,0)","base_T_ee(2,1)","base_T_ee(2,2)","base_T_ee(2,3)","base_T_ee(3,0)","base_T_ee(3,1)","base_T_ee(3,2)","base_T_ee(3,3)"
1,-0.8691299057179795,-0.4939025923993674,0.025950649468562407,0.3420435869470238,-0.49382068569872406,0.8695071403768304,0.009922862981483718,-0.25625519320531814,-0.02746520276090973,-0.00419071054734334,-0.9996139757838576,0.3326565158343957,0.0,0.0,0.0,1.0
2,-0.5586583413011295,-0.8054828290799689,0.19773282416432578,0.27182414642362485,-0.828155968880822,0.554779129931081,-0.07986118080757058,-0.24017863958958635,-0.045371234298151236,-0.2083687333796554,-0.9769974012493688,0.31316345944589385,0.0,0.0,0.0,1.0
3,-0.9133672509338937,-0.3847183527586462,0.1332368341418229,0.3406632929221488,-0.40693662224849825,0.872907537475554,-0.26913754195828504,-0.11369650643625456,-0.012761284984075007,-0.300040364066301,-0.953841144812131,0.27007756781666054,0.0,0.0,0.0,1.0
4,-0.4215625177464629,-0.8562402196056658,0.2985594245052472,0.22027239742266425,-0.8908344691829848,0.4525593825463582,0.04004939181471272,-0.28178719844159394,-0.16940776884999378,-0.24908370400108448,-0.9535503742615632,0.3308006211214711,0.0,0.0,0.0,1.0
5,-0.32439649675904014,-0.7853515666270723,0.5272474084211938,0.14539098820967622,-0.9229843711015027,0.3848010206199447,0.005293886305206608,-0.24857300421726783,-0.2070429027830358,-0.484923799504883,-0.8496953248552815,0.29619394672984634,0.0,0.0,0.0,1.0
6,-0.9580644336899137,-0.1447121377698769,0.2473275926387855,0.3516786827098068,-0.17962024657420894,0.975780393026263,-0.12485668426693089,-0.1722902863215743,-0.22326913785618746,-0.16404579167898167,-0.9608537195189343,0.37706961482239293,0.0,0.0,0.0,1.0
7,-0.9142489258169816,-0.3841389535458073,0.12878728978912257,0.34298349759701086,-0.4011991267246534,0.9026706976685004,-0.1556434138858406,-0.1749952225293925,-0.056463814588378784,-0.1939661721522485,-0.9793819284133914,0.3654333000433313,0.0,0.0,0.0,1.0
8,-0.4540499067337608,-0.8613652699430264,0.2277905922794891,0.24552711148513118,-0.8782929117996191,0.4756961694631596,0.04811148969449623,-0.2945991839554458,-0.1498006784951582,-0.17822184516510398,-0.9725208124396804,0.3234756733476574,0.0,0.0,0.0,1.0
9,-0.6766707606058997,-0.6666093623911604,0.3126477885952235,0.23459434452286929,-0.6892934442291652,0.7228050241391426,0.04926910616103794,-0.2856096493072553,-0.25882663982621207,-0.1821671074910712,-0.9485904888120104,0.27699905229605304,0.0,0.0,0.0,1.0
10,-0.6187117781686817,-0.6507893756890022,0.4400783158094328,0.19226507288778566,-0.7129286838797859,0.7004362755751409,0.03349202233162876,-0.23217833607057914,-0.33004306879070233,-0.2930225458027844,-0.8973345866478517,0.36617372270559434,0.0,0.0,0.0,1.0
